iter	Passed	Remaining
587	2977	2086
588	2982	2081
589	2987	2075
590	2991	2070
591	2996	2065
592	3000	2059
593	3008	2056
594	3013	2051
595	3018	2046
596	3023	2040
597	3028	2035
598	3033	2030
599	3037	2025
600	3042	2019
601	3047	2014
602	3052	2009
603	3057	2004
604	3061	1999
605	3066	1994
606	3071	1988
607	3076	1983
608	3081	1978
609	3085	1972
610	3090	1967
611	3096	1962
612	3100	1957
613	3105	1952
614	3110	1946
615	3114	1941
616	3120	1936
617	3124	1931
618	3129	1926
619	3134	1921
620	3139	1916
621	3144	1910
622	3148	1905
623	3153	1900
624	3158	1895
625	3163	1890
626	3168	1884
627	3172	1879
628	3177	1873
629	3181	1868
630	3186	1863
631	3190	1857
632	3195	1852
633	3199	1847
634	3204	1841
635	3208	1836
636	3213	1831
637	3218	1825
638	3222	1820
639	3226	1814
640	3230	1809
641	3235	1804
642	3240	1799
643	3245	1793
644	3249	1788
645	3254	1783
646	3259	1778
647	3264	1773
648	3269	1768
649	3274	1763
650	3279	1758
651	3284	1753
652	3288	1747
653	3293	1742
654	3297	1737
655	3302	1731
656	3307	1726
657	3312	1721
658	3317	1716
659	3322	1711
660	3327	1706
661	3332	1701
662	3337	1696
663	3342	1691
664	3347	1686
665	3351	1680
666	3356	1675
667	3362	1671
668	3367	1665
669	3371	1660
670	3376	1655
671	3381	1650
672	3385	1645
673	3390	1639
674	3395	1634
675	3400	1629
676	3404	1624
677	3409	1619
678	3414	1614
679	3418	1608
680	3423	1603
681	3428	1598
682	3432	1593
683	3437	1588
684	3442	1582
685	3446	1577
686	3451	1572
687	3456	1567
688	3460	1562
689	3465	1557
690	3470	1551
691	3475	1546
692	3479	1541
693	3484	1536
694	3489	1531
695	3494	1526
696	3499	1521
697	3504	1516
698	3508	1510
699	3514	1506
700	3518	1500
701	3523	1495
702	3528	1490
703	3532	1485
704	3537	1480
705	3542	1475
706	3546	1469
707	3551	1464
708	3557	1460
709	3562	1455
710	3567	1449
711	3571	1444
712	3576	1439
713	3581	1434
714	3585	1429
715	3590	1424
716	3595	1419
717	3600	1413
718	3604	1408
719	3609	1403
720	3614	1398
721	3618	1393
722	3623	1388
723	3628	1383
724	3633	1378
725	3637	1372
726	3642	1367
727	3647	1362
728	3651	1357
729	3656	1352
730	3661	1347
731	3665	1342
732	3670	1336
733	3675	1332
734	3680	1327
735	3685	1321
736	3690	1316
737	3694	1311
738	3699	1306
739	3703	1301
740	3709	1296
741	3713	1291
742	3718	1286
743	3723	1281
744	3727	1276
745	3732	1270
746	3737	1265
747	3742	1260
748	3747	1255
749	3752	1250
750	3757	1245
751	3762	1240
752	3766	1235
753	3771	1230
754	3776	1225
755	3780	1220
756	3785	1215
757	3790	1210
758	3795	1205
759	3800	1200
760	3805	1195
761	3810	1190
762	3815	1185
763	3819	1179
764	3825	1175
765	3830	1170
766	3834	1164
767	3839	1159
768	3844	1154
769	3848	1149
770	3853	1144
771	3858	1139
772	3863	1134
773	3868	1129
774	3872	1124
775	3877	1119
776	3882	1114
777	3887	1109
778	3891	1104
779	3896	1098
780	3901	1093
781	3906	1088
782	3910	1083
783	3915	1078
784	3919	1073
785	3924	1068
786	3928	1063
787	3933	1058
788	3938	1053
789	3943	1048
790	3948	1043
791	3953	1038
792	3958	1033
793	3963	1028
794	3968	1023
795	3973	1018
796	3977	1013
797	3982	1008
798	3987	1003
799	3992	998
800	3997	993
801	4001	987
802	4006	982
803	4011	977
804	4016	972
805	4020	967
806	4025	962
807	4030	957
808	4035	952
809	4040	947
810	4044	942
811	4049	937
812	4054	932
813	4058	927
814	4063	922
815	4067	917
816	4073	912
817	4077	907
818	4082	902
819	4087	897
820	4091	892
821	4096	887
822	4103	882
823	4108	877
824	4113	872
825	4118	867
826	4123	862
827	4127	857
828	4132	852
829	4137	847
830	4142	842
831	4147	837
832	4152	832
833	4157	827
834	4161	822
835	4166	817
836	4170	812
837	4175	807
838	4180	802
839	4184	797
840	4189	792
841	4194	787
842	4198	781
843	4203	777
844	4208	771
845	4213	766
846	4217	761
847	4222	756
848	4227	751
849	4232	746
850	4237	741
851	4241	736
852	4247	731
853	4251	726
854	4256	721
855	4260	716
856	4265	711
857	4270	706
858	4274	701
859	4279	696
860	4284	691
861	4288	686
862	4293	681
863	4298	676
864	4303	671
865	4307	666
866	4312	661
867	4317	656
868	4322	651
869	4326	646
870	4331	641
871	4336	636
872	4340	631
873	4345	626
874	4350	621
875	4355	616
876	4359	611
877	4363	606
878	4368	601
879	4373	596
880	4377	591
881	4382	586
882	4387	581
883	4392	576
884	4397	571
885	4402	566
886	4407	561
887	4411	556
888	4416	551
889	4420	546
890	4426	541
891	4431	536
892	4436	531
893	4441	526
894	4446	521
895	4450	516
896	4455	511
897	4460	506
898	4465	501
899	4469	496
900	4474	491
901	4479	486
